kpps_offered	reps	loss_scored	loss_reps	sent_pps	recv_pps	clean
1	1	0.0000	0.0000	1000.0	999.8	yes
2	1	0.0000	0.0000	1999.7	1999.5	yes
3	1	0.0000	0.0000	2999.6	2999.1	yes
5	1	0.0000	0.0000	4999.2	4998.8	yes
8	1	0.0000	0.0000	7998.8	7997.9	yes
12	1	0.0000	0.0000	11998.1	11996.7	yes
20	3	0.4457	0.0181,0.4457,1.0620	19997.2	19993.5	yes
30	3	0.3800	0.3800,0.3509,0.5792	29995.4	29991.0	yes
45	1	5.7851	5.7851	44993.2	44987.7	no
70	1	31.4243	31.4243	69988.4	69977.9	no
110	1	50.7688	50.7688	109984.5	109959.4	no
