rate_mbit	reps	loss_scored	loss_reps	agg_sent	agg_recv	clean
1	1	0.0000	0.0000	16.01	16.00	yes
2	3	0.9797	0.9797,0.8397,1.4696	32.01	31.67	no
3	1	4.5264	4.5264	48.00	45.94	no
5	1	14.3337	14.3337	79.99	69.56	no
8	1	46.1767	46.1767	127.99	71.90	no
12	1	-1	-1	-1	-1	NO_MEASUREMENT
20	1	-1	-1	-1	-1	NO_MEASUREMENT
30	1	-1	-1	-1	-1	NO_MEASUREMENT
45	1	-1	-1	-1	-1	NO_MEASUREMENT
70	1	-1	-1	-1	-1	NO_MEASUREMENT
110	1	-1	-1	-1	-1	NO_MEASUREMENT
160	1	-1	-1	-1	-1	NO_MEASUREMENT
240	1	-1	-1	-1	-1	NO_MEASUREMENT
