kpps_offered	reps	loss_scored	loss_reps	sent_pps	recv_pps	clean
1	1	0.0000	0.0000	999.9	999.7	yes
2	1	0.0000	0.0000	1999.7	1999.6	yes
3	1	0.0000	0.0000	2999.6	2999.3	yes
5	3	0.0000	0.2400,0.0000,0.0000	4999.2	4998.7	yes
8	1	0.0000	0.0000	7998.6	7997.9	yes
12	3	0.0302	0.0302,0.0000,0.2813	11998.0	11996.4	yes
20	1	2.4872	2.4872	19996.8	19995.5	no
30	3	0.1271	0.1058,0.5413,0.1271	29995.3	29992.4	yes
45	1	5.7053	5.7053	44993.3	44989.5	no
70	1	32.0389	32.0389	69990.6	69982.0	no
110	1	54.5523	54.5523	109983.0	109973.6	no
