epoch	10.0.0.220:ph/prog	10.0.0.221:ph/prog	10.0.0.222:ph/prog	10.0.0.223:ph/prog
1788095168.351	0/1	1/0	0/0	0/0
1788095168.393	0/1	1/0	0/0	0/0
1788095168.434	0/1	1/0	0/0	0/0
1788095168.477	0/1	1/0	0/0	0/0
1788095168.519	0/1	1/0	0/0	0/0
1788095168.561	0/1	1/0	0/0	0/0
1788095168.605	0/1	1/0	0/0	0/0
1788095168.646	0/1	1/0	0/0	0/0
1788095168.687	0/1	1/0	0/0	0/0
1788095168.731	0/1	1/0	0/0	0/0
1788095168.773	0/1	1/0	0/0	0/0
1788095168.813	0/1	1/0	0/0	0/0
1788095168.857	0/1	1/0	0/0	0/0
1788095168.903	0/1	1/0	0/0	0/0
1788095168.949	0/1	1/0	0/0	0/0
1788095168.988	0/1	1/0	0/0	0/0
1788095169.028	0/1	1/0	0/0	0/0
1788095169.071	0/1	1/0	0/0	0/0
1788095169.113	0/1	1/0	0/0	0/0
1788095169.155	0/1	1/0	0/0	0/0
1788095169.205	0/1	1/0	0/0	0/0
1788095169.246	0/1	1/0	0/0	0/0
1788095169.288	0/1	1/0	0/0	0/0
1788095169.350	0/1	1/0	0/0	0/0
1788095169.391	0/1	1/0	0/0	0/0
1788095169.437	0/1	1/0	0/0	0/0
1788095169.481	0/1	1/0	0/0	0/0
1788095169.523	0/1	1/0	0/0	0/0
1788095169.567	0/1	1/0	0/0	0/0
1788095169.608	0/1	1/0	0/0	0/0
1788095169.651	0/1	1/0	0/0	0/0
1788095169.694	0/1	1/0	0/0	0/0
1788095169.738	0/1	1/0	0/0	0/0
1788095169.779	0/1	1/0	0/0	0/0
1788095169.822	0/1	1/0	0/0	0/0
1788095169.866	0/1	1/0	0/0	0/0
1788095169.907	0/1	1/0	0/0	0/0
1788095169.947	0/1	1/0	0/0	0/0
1788095169.990	0/1	1/0	0/0	0/0
1788095170.029	0/1	1/0	0/0	0/0
1788095170.071	0/1	1/0	0/0	0/0
1788095170.112	0/1	1/0	0/0	0/0
1788095170.159	0/1	1/0	0/0	0/0
1788095170.204	0/1	1/0	0/0	0/0
1788095170.244	0/1	1/0	0/0	0/0
1788095170.292	0/1	1/0	0/0	0/0
1788095170.349	0/1	1/0	0/0	0/0
1788095170.390	0/1	1/0	0/0	0/0
1788095170.432	0/1	1/0	0/0	0/0
1788095170.473	0/1	1/0	0/0	0/0
1788095170.515	0/1	1/0	0/0	0/0
1788095170.556	0/1	1/0	0/0	0/0
1788095170.598	0/1	1/0	0/0	0/0
1788095170.640	0/1	1/0	0/0	0/0
1788095170.683	0/1	1/0	0/0	0/0
1788095170.727	0/1	1/0	0/0	0/0
1788095170.769	0/1	1/0	0/0	0/0
1788095170.810	0/1	1/0	0/0	0/0
1788095170.852	0/1	1/0	0/0	0/0
1788095170.896	0/1	1/0	0/0	0/0
1788095170.940	0/1	1/0	0/0	0/0
1788095170.982	0/1	1/0	0/0	0/0
1788095171.023	0/1	1/0	0/0	0/0
1788095171.066	0/1	1/0	0/0	0/0
1788095171.109	0/1	1/0	0/0	0/0
1788095171.152	0/1	1/0	0/0	0/0
1788095171.196	0/1	1/0	0/0	0/0
1788095171.239	0/1	1/0	0/0	0/0
1788095171.281	0/1	1/0	0/0	0/0
1788095171.342	0/1	1/0	0/0	0/0
1788095171.388	0/1	1/0	0/0	0/0
1788095171.432	0/1	1/0	0/0	0/0
1788095171.477	0/1	1/0	0/0	0/0
1788095171.520	0/1	1/0	0/0	0/0
1788095171.563	0/1	1/0	0/0	0/0
1788095171.607	0/1	1/0	0/0	0/0
1788095171.649	0/1	1/0	0/0	0/0
1788095171.691	0/1	1/0	0/0	0/0
1788095171.732	0/1	1/0	0/0	0/0
1788095171.774	0/1	1/0	0/0	0/0
1788095171.816	0/1	1/0	0/0	0/0
1788095171.860	0/1	1/0	0/0	0/0
1788095171.901	0/1	1/0	0/0	0/0
1788095171.945	0/1	1/0	0/0	0/0
1788095171.990	0/1	1/0	0/0	0/0
1788095172.032	0/1	1/0	0/0	0/0
1788095172.074	0/1	1/0	0/0	0/0
1788095172.117	0/1	1/0	0/0	0/0
1788095172.161	0/1	1/0	0/0	0/0
1788095172.203	0/1	1/0	0/0	0/0
1788095172.245	0/1	1/0	0/0	0/0
1788095172.290	0/1	1/0	1/0	0/0
1788095172.352	0/1	1/0	1/0	0/0
1788095172.398	0/1	1/0	1/0	0/0
1788095172.444	0/1	1/0	1/0	0/0
1788095172.490	0/1	1/0	1/0	0/0
1788095172.531	0/1	1/0	1/0	0/0
1788095172.573	0/1	1/0	1/0	0/0
1788095172.618	0/1	1/0	1/0	0/0
1788095172.659	0/1	1/0	1/0	0/0
1788095172.701	0/1	1/0	1/0	0/0
1788095172.743	0/1	1/0	1/0	0/0
1788095172.784	0/1	1/0	1/0	0/0
1788095172.825	0/1	1/0	1/0	0/0
1788095172.867	0/1	1/0	1/0	0/0
1788095172.909	0/1	1/0	1/0	0/0
1788095172.951	0/1	1/0	1/0	0/0
1788095172.995	0/1	1/0	1/0	0/0
1788095173.036	0/1	1/0	1/0	0/0
1788095173.078	0/1	1/0	1/0	0/0
1788095173.122	0/1	1/0	1/0	0/0
1788095173.164	0/1	1/0	1/0	0/0
1788095173.206	0/1	1/0	1/0	0/0
1788095173.247	0/1	1/0	1/0	0/0
1788095173.291	0/1	1/0	1/0	0/0
1788095173.352	0/1	1/0	1/0	0/0
1788095173.393	0/1	1/0	1/0	0/0
1788095173.436	0/1	1/0	1/0	0/0
1788095173.488	0/1	1/0	1/0	0/0
1788095173.531	0/1	1/0	1/0	0/0
1788095173.573	0/1	1/0	1/0	0/0
1788095173.617	0/1	1/0	1/0	0/0
1788095173.659	0/1	1/0	1/0	0/0
1788095173.701	0/1	1/0	1/0	0/0
1788095173.749	0/1	1/0	1/0	0/0
1788095173.789	0/1	1/0	1/0	0/0
1788095173.831	0/1	1/0	1/0	0/0
1788095173.873	0/1	1/0	1/0	0/0
1788095173.913	0/1	1/0	1/0	0/0
1788095173.955	0/1	1/0	1/0	0/0
1788095173.996	0/1	1/0	1/0	0/0
1788095174.037	0/1	1/0	1/0	0/0
1788095174.079	0/1	1/0	1/0	0/0
1788095174.120	0/1	1/0	1/0	0/0
1788095174.168	0/1	1/0	1/0	0/0
1788095174.212	0/1	1/0	1/0	0/0
1788095174.255	0/1	1/0	1/0	0/0
1788095174.302	0/1	1/0	1/0	0/0
1788095174.359	0/1	1/0	1/0	0/0
1788095174.412	0/1	1/0	1/0	0/0
1788095174.456	0/1	1/0	1/0	0/0
1788095174.495	0/1	1/0	1/0	0/0
1788095174.535	0/1	1/0	1/0	0/0
1788095174.573	0/1	1/0	1/0	0/0
1788095174.612	0/1	0/1	0/1	0/0
1788095174.649	0/1	0/1	0/1	0/0
1788095174.696	0/1	0/1	0/1	0/0
1788095174.742	0/1	0/1	0/1	0/0
1788095174.784	0/1	0/1	0/1	0/0
1788095174.826	0/1	0/1	0/1	0/0
1788095174.867	0/1	0/1	0/1	0/0
1788095174.908	0/1	0/1	0/1	0/0
1788095174.950	0/1	0/1	0/1	0/0
1788095174.993	0/1	0/1	0/1	0/0
1788095175.033	0/1	0/1	0/1	0/0
1788095175.073	0/1	0/1	0/1	0/0
1788095175.116	0/1	0/1	0/1	0/0
1788095175.158	0/1	0/1	0/1	0/0
1788095175.204	0/1	0/1	0/1	0/0
1788095175.245	0/1	0/1	0/1	0/0
1788095175.288	0/1	0/1	0/1	0/0
1788095175.349	0/1	0/1	0/1	0/0
1788095175.390	0/1	0/1	0/1	0/0
1788095175.431	0/1	0/1	0/1	0/0
1788095175.472	0/1	0/1	0/1	0/0
1788095175.513	0/1	0/1	0/1	0/0
1788095175.557	0/1	0/1	0/1	0/0
1788095175.601	0/1	0/1	0/1	0/0
1788095175.643	0/1	0/1	0/1	0/0
1788095175.685	0/1	0/1	0/1	0/0
1788095175.732	0/1	0/1	0/1	0/0
1788095175.776	0/1	0/1	0/1	0/0
1788095175.822	0/1	0/1	0/1	0/0
1788095175.871	0/1	0/1	0/1	0/0
1788095175.913	0/1	0/1	0/1	0/0
1788095175.956	0/1	0/1	0/1	0/0
1788095175.997	0/1	0/1	0/1	0/0
1788095176.039	0/1	0/1	0/1	0/0
1788095176.085	0/1	0/1	0/1	0/0
1788095176.132	0/1	0/1	0/1	0/0
1788095176.173	0/1	0/1	0/1	0/0
1788095176.216	0/1	0/1	0/1	0/0
1788095176.257	0/1	0/1	0/1	0/0
1788095176.301	0/1	0/1	0/1	0/0
1788095176.373	0/1	0/1	0/1	0/0
1788095176.416	0/1	0/1	0/1	0/0
1788095176.459	0/1	0/1	0/1	0/0
1788095176.501	0/1	0/1	0/1	0/0
1788095176.544	0/1	0/1	0/1	0/0
1788095176.586	0/1	0/1	0/1	0/0
1788095176.632	0/1	0/1	0/1	0/0
1788095176.675	0/1	0/1	0/1	0/0
1788095176.716	0/1	0/1	0/1	0/0
1788095176.756	0/1	0/1	0/1	0/0
1788095176.796	0/1	0/1	0/1	0/0
1788095176.835	0/1	0/1	0/1	0/0
1788095176.874	0/1	0/1	0/1	0/0
1788095176.913	0/1	0/1	0/1	0/0
1788095176.952	0/1	0/1	0/1	0/0
1788095176.994	0/1	0/1	0/1	0/0
1788095177.036	0/1	0/1	0/1	0/0
1788095177.078	0/1	0/1	0/1	0/0
1788095177.122	0/1	0/1	0/1	0/0
1788095177.167	0/1	0/1	0/1	0/0
1788095177.209	0/1	0/1	0/1	0/0
1788095177.250	0/1	0/1	0/1	0/0
1788095177.293	0/1	0/1	0/1	1/0
1788095177.356	0/1	0/1	0/1	1/0
1788095177.400	0/1	0/1	0/1	1/0
1788095177.441	0/1	0/1	0/1	1/0
1788095177.483	0/1	0/1	0/1	1/0
1788095177.523	0/1	0/1	0/1	1/0
1788095177.566	0/1	0/1	0/1	1/0
1788095177.610	0/1	0/1	0/1	1/0
1788095177.652	0/1	0/1	0/1	1/0
1788095177.693	0/1	0/1	0/1	1/0
1788095177.735	0/1	0/1	0/1	1/0
1788095177.778	0/1	0/1	0/1	1/0
1788095177.821	0/1	0/1	0/1	1/0
1788095177.863	0/1	0/1	0/1	1/0
1788095177.909	0/1	0/1	0/1	1/0
1788095177.952	0/1	0/1	0/1	1/0
1788095177.994	0/1	0/1	0/1	1/0
1788095178.036	0/1	0/1	0/1	1/0
1788095178.077	0/1	0/1	0/1	1/0
1788095178.124	0/1	0/1	0/1	1/0
1788095178.177	0/1	0/1	0/1	1/0
1788095178.220	0/1	0/1	0/1	1/0
1788095178.264	0/1	0/1	0/1	1/0
1788095178.335	0/1	0/1	0/1	1/0
1788095178.376	0/1	0/1	0/1	1/0
1788095178.417	0/1	0/1	0/1	1/0
1788095178.459	0/1	0/1	0/1	1/0
1788095178.502	0/1	0/1	0/1	1/0
1788095178.543	0/1	0/1	0/1	1/0
1788095178.588	0/1	0/1	0/1	1/0
1788095178.631	0/1	0/1	0/1	1/0
1788095178.673	0/1	0/1	0/1	1/0
1788095178.717	0/1	0/1	0/1	1/0
1788095178.759	0/1	0/1	0/1	1/0
1788095178.807	0/1	0/1	0/1	1/0
1788095178.850	0/1	0/1	0/1	1/0
1788095178.893	0/1	0/1	0/1	1/0
1788095178.935	0/1	0/1	0/1	1/0
1788095178.978	0/1	0/1	0/1	1/0
1788095179.021	0/1	0/1	0/1	1/0
1788095179.063	0/1	0/1	0/1	1/0
1788095179.105	0/1	0/1	0/1	1/0
1788095179.153	0/1	0/1	0/1	1/0
1788095179.197	0/1	0/1	0/1	1/0
1788095179.239	0/1	0/1	0/1	1/0
1788095179.289	0/1	0/1	0/1	1/0
1788095179.347	0/1	0/1	0/1	1/0
1788095179.389	0/1	0/1	0/1	1/0
1788095179.430	0/1	0/1	0/1	1/0
1788095179.469	0/1	0/1	0/1	1/0
1788095179.509	0/1	0/1	0/1	1/0
1788095179.547	0/1	0/1	0/1	1/0
1788095179.587	0/1	0/1	0/1	1/0
1788095179.627	0/1	0/1	0/1	1/0
1788095179.666	0/1	0/1	0/1	1/0
1788095179.705	0/1	0/1	0/1	1/0
1788095179.745	0/1	0/1	0/1	1/0
1788095179.787	0/1	0/1	0/1	1/0
1788095179.827	0/1	0/1	0/1	1/0
1788095179.866	0/1	0/1	0/1	1/0
1788095179.902	0/1	0/1	0/1	1/0
1788095179.933	0/1	0/1	0/1	1/0
1788095179.961	0/1	0/1	0/1	1/0
1788095179.986	0/1	0/1	0/1	1/0
1788095180.009	0/1	0/1	0/1	1/0
1788095180.030	0/1	0/1	0/1	1/0
1788095180.049	0/1	0/1	0/1	1/0
1788095180.067	0/1	0/1	0/1	1/0
1788095180.084	0/1	0/1	0/1	1/0
1788095180.101	0/1	0/1	0/1	1/0
1788095180.117	0/1	0/1	0/1	1/0
1788095180.134	0/1	0/1	0/1	1/0
1788095180.151	0/1	0/1	0/1	1/0
1788095180.168	0/1	0/1	0/1	1/0
1788095180.185	0/1	0/1	0/1	1/0
1788095180.202	0/1	0/1	0/1	1/0
1788095180.218	0/1	0/1	0/1	1/0
1788095180.252	0/1	0/1	0/1	1/0
1788095180.274	0/1	0/1	0/1	1/0
1788095180.306	0/1	0/1	0/1	1/0
1788095180.323	0/1	0/1	0/1	1/0
1788095180.343	0/1	0/1	0/1	1/0
1788095180.360	0/1	0/1	0/1	1/0
1788095180.402	0/1	0/1	0/1	1/0
1788095180.443	0/1	0/1	0/1	1/0
1788095180.477	0/1	0/1	0/1	1/0
1788095180.520	0/1	0/1	0/1	1/0
1788095180.561	0/1	0/1	0/1	1/0
1788095180.605	0/1	0/1	0/1	1/0
1788095180.648	0/1	0/1	0/1	1/0
1788095180.691	0/1	0/1	0/1	1/0
1788095180.736	0/1	0/1	0/1	1/0
1788095180.776	0/1	0/1	0/1	1/0
1788095180.815	0/1	0/1	0/1	1/0
1788095180.860	0/1	0/1	0/1	1/0
1788095180.902	0/1	0/1	0/1	1/0
1788095180.944	0/1	0/1	0/1	1/0
1788095180.986	0/1	0/1	0/1	1/0
1788095181.028	0/1	0/1	0/1	1/0
1788095181.069	0/1	0/1	0/1	1/0
1788095181.116	0/1	0/1	0/1	1/0
1788095181.158	0/1	0/1	0/1	1/0
1788095181.199	0/1	0/1	0/1	1/0
1788095181.238	0/1	0/1	0/1	1/0
1788095181.279	0/1	0/1	0/1	1/0
1788095181.355	0/1	0/1	0/1	1/0
1788095181.397	0/1	0/1	0/1	1/0
1788095181.439	0/1	0/1	0/1	1/0
1788095181.483	0/1	0/1	0/1	1/0
1788095181.526	0/1	0/1	0/1	1/0
1788095181.568	0/1	0/1	0/1	1/0
1788095181.617	0/1	0/1	0/1	1/0
1788095181.656	0/1	0/1	0/1	1/0
1788095181.695	0/1	0/1	0/1	1/0
1788095181.735	0/1	0/1	0/1	1/0
1788095181.773	0/1	0/1	0/1	1/0
1788095181.811	0/1	0/1	0/1	1/0
1788095181.850	0/1	0/1	0/1	1/0
1788095181.889	0/1	0/1	0/1	1/0
1788095181.927	0/1	0/1	0/1	1/0
1788095181.966	0/1	0/1	0/1	1/0
1788095182.010	0/1	0/1	0/1	1/0
1788095182.053	0/1	0/1	0/1	1/0
1788095182.096	0/1	0/1	0/1	1/0
1788095182.139	0/1	0/1	0/1	1/0
1788095182.181	0/1	0/1	0/1	1/0
1788095182.225	0/1	0/1	0/1	1/0
1788095182.269	0/1	0/1	0/1	1/0
1788095182.337	0/1	0/1	0/1	1/0
1788095182.382	0/1	0/1	0/1	1/0
1788095182.424	0/1	0/1	0/1	1/0
1788095182.466	0/1	0/1	0/1	1/0
1788095182.510	0/1	0/1	0/1	1/0
1788095182.552	0/1	0/1	0/1	1/0
1788095182.594	0/1	0/1	0/1	1/0
1788095182.637	0/1	0/1	0/1	1/0
1788095182.678	0/1	0/1	0/1	1/0
1788095182.721	0/1	0/1	0/1	1/0
1788095182.762	0/1	0/1	0/1	1/0
1788095182.805	0/1	0/1	0/1	1/0
1788095182.847	0/1	0/1	0/1	1/0
1788095182.892	0/1	0/1	0/1	1/0
1788095182.940	0/1	0/1	0/1	1/0
1788095182.983	0/1	0/1	0/1	1/0
1788095183.026	0/1	0/1	0/1	1/0
1788095183.068	0/1	0/1	0/1	1/0
1788095183.113	0/1	0/1	0/1	1/0
1788095183.161	0/1	0/1	0/1	1/0
1788095183.204	0/1	0/1	0/1	1/0
1788095183.250	0/1	0/1	0/1	1/0
1788095183.302	0/1	0/1	0/1	1/0
1788095183.362	0/1	0/1	0/1	1/0
1788095183.405	0/1	0/1	0/1	1/0
1788095183.447	0/1	0/1	0/1	1/0
1788095183.489	0/1	0/1	0/1	1/0
1788095183.529	0/1	0/1	0/1	1/0
1788095183.574	0/1	0/1	0/1	1/0
1788095183.620	0/1	0/1	0/1	1/0
1788095183.663	0/1	0/1	0/1	1/0
1788095183.705	0/1	0/1	0/1	1/0
1788095183.747	0/1	0/1	0/1	1/0
1788095183.792	0/1	0/1	0/1	1/0
1788095183.838	0/1	0/1	0/1	1/0
1788095183.880	0/1	0/1	0/1	1/0
1788095183.923	0/1	0/1	0/1	1/0
1788095183.967	0/1	0/1	0/1	1/0
1788095184.008	0/1	0/1	0/1	1/0
1788095184.049	0/1	0/1	0/1	1/0
1788095184.091	0/1	0/1	0/1	1/0
1788095184.133	0/1	0/1	0/1	1/0
1788095184.176	0/1	0/1	0/1	1/0
1788095184.217	0/1	0/1	0/1	1/0
1788095184.262	0/1	0/1	0/1	1/0
1788095184.304	0/1	0/1	0/1	1/0
1788095184.375	0/1	0/1	0/1	1/0
1788095184.416	0/1	0/1	0/1	1/0
1788095184.462	0/1	0/1	0/1	1/0
1788095184.505	0/1	0/1	0/1	1/0
1788095184.554	0/1	0/1	0/1	1/0
1788095184.596	0/1	0/1	0/1	1/0
1788095184.637	0/1	0/1	0/1	1/0
1788095184.677	0/1	0/1	0/1	1/0
1788095184.717	0/1	0/1	0/1	1/0
1788095184.757	0/1	0/1	0/1	1/0
1788095184.796	0/1	0/1	0/1	1/0
1788095184.836	0/1	0/1	0/1	1/0
1788095184.872	0/1	0/1	0/1	1/0
1788095184.903	0/1	0/1	0/1	1/0
1788095184.932	0/1	0/1	0/1	1/0
1788095184.958	0/1	0/1	0/1	1/0
1788095184.983	0/1	0/1	0/1	1/0
1788095185.005	0/1	0/1	0/1	1/0
1788095185.025	0/1	0/1	0/1	1/0
1788095185.044	0/1	0/1	0/1	1/0
1788095185.061	0/1	0/1	0/1	1/0
1788095185.078	0/1	0/1	0/1	1/0
1788095185.095	0/1	0/1	0/1	1/0
1788095185.111	0/1	0/1	0/1	1/0
1788095185.127	0/1	0/1	0/1	1/0
1788095185.144	0/1	0/1	0/1	1/0
1788095185.161	0/1	0/1	0/1	1/0
1788095185.177	0/1	0/1	0/1	1/0
1788095185.193	0/1	0/1	0/1	1/0
1788095185.209	0/1	0/1	0/1	1/0
1788095185.226	0/1	0/1	0/1	1/0
1788095185.241	0/1	0/1	0/1	1/0
1788095185.260	0/1	0/1	0/1	1/0
1788095185.295	0/1	0/1	0/1	0/1
1788095185.317	0/1	0/1	0/1	0/1
1788095185.340	0/1	0/1	0/1	0/1
1788095185.365	0/1	0/1	0/1	0/1
1788095185.392	0/1	0/1	0/1	0/1
1788095185.421	0/1	0/1	0/1	0/1
1788095185.453	0/1	0/1	0/1	0/1
1788095185.488	0/1	0/1	0/1	0/1
1788095185.523	0/1	0/1	0/1	0/1
1788095185.559	0/1	0/1	0/1	0/1
1788095185.602	0/1	0/1	0/1	0/1
1788095185.645	0/1	0/1	0/1	0/1
1788095185.687	0/1	0/1	0/1	0/1
1788095185.729	0/1	0/1	0/1	0/1
1788095185.772	0/1	0/1	0/1	0/1
1788095185.813	0/1	0/1	0/1	0/1
1788095185.856	0/1	0/1	0/1	0/1
1788095185.898	0/1	0/1	0/1	0/1
1788095185.941	0/1	0/1	0/1	0/1
1788095185.984	0/1	0/1	0/1	0/1
1788095186.025	0/1	0/1	0/1	0/1
1788095186.066	0/1	0/1	0/1	0/1
1788095186.112	0/1	0/1	0/1	0/1
1788095186.156	0/1	0/1	0/1	0/1
1788095186.200	0/1	0/1	0/1	0/1
1788095186.243	0/1	0/1	0/1	0/1
1788095186.286	0/1	0/1	0/1	0/1
1788095186.347	0/1	0/1	0/1	0/1
1788095186.390	0/1	0/1	0/1	0/1
1788095186.431	0/1	0/1	0/1	0/1
1788095186.473	0/1	0/1	0/1	0/1
1788095186.515	0/1	0/1	0/1	0/1
1788095186.555	0/1	0/1	0/1	0/1
1788095186.597	0/1	0/1	0/1	0/1
1788095186.640	0/1	0/1	0/1	0/1
1788095186.683	0/1	0/1	0/1	0/1
1788095186.728	0/1	0/1	0/1	0/1
1788095186.770	0/1	0/1	0/1	0/1
1788095186.813	0/1	0/1	0/1	0/1
1788095186.856	0/1	0/1	0/1	0/1
1788095186.898	0/1	0/1	0/1	0/1
1788095186.939	0/1	0/1	0/1	0/1
1788095186.981	0/1	0/1	0/1	0/1
1788095187.024	0/1	0/1	0/1	0/1
1788095187.065	0/1	0/1	0/1	0/1
1788095187.107	0/1	0/1	0/1	0/1
1788095187.150	0/1	0/1	0/1	0/1
1788095187.193	0/1	0/1	0/1	0/1
1788095187.234	0/1	0/1	0/1	0/1
1788095187.278	0/1	0/1	0/1	0/1
1788095187.340	0/1	0/1	0/1	0/1
1788095187.386	0/1	0/1	0/1	0/1
1788095187.428	0/1	0/1	0/1	0/1
1788095187.471	0/1	0/1	0/1	0/1
