elapsed_s	hosts_with_ipv4
0	-1
2	0
4	0
6	0
9	0
11	0
13	0
17	-1
21	-1
25	-1
29	-1
33	-1
37	-1
41	-1
45	-1
49	-1
53	-1
57	-1
61	-1
65	-1
69	-1
73	-1
77	-1
81	-1
85	-1
89	-1
93	-1
97	-1
101	-1
105	-1
109	-1
113	-1
117	-1
121	-1
125	-1
129	-1
134	-1
138	-1
142	-1
146	-1
150	-1
154	-1
158	-1
162	-1
166	-1
170	-1
174	-1
178	-1
182	-1
186	-1
190	-1
194	-1
198	-1
202	-1
206	-1
210	-1
214	-1
218	-1
222	-1
226	-1
230	-1
234	-1
238	-1
242	-1
246	-1
250	-1
254	-1
258	-1
263	-1
267	-1
271	-1
275	-1
279	-1
283	-1
287	-1
291	-1
295	-1
299	-1
303	-1
307	-1
311	-1
315	-1
319	-1
323	-1
327	-1
331	-1
335	-1
339	-1
343	-1
347	-1
351	-1
355	-1
359	-1
363	-1
367	-1
371	-1
375	-1
379	-1
383	-1
387	-1
392	-1
396	-1
400	-1
404	-1
408	-1
412	-1
416	-1
420	-1
424	-1
428	-1
432	-1
436	-1
440	-1
444	-1
448	-1
452	-1
456	-1
460	-1
464	-1
468	-1
472	-1
476	-1
480	-1
484	-1
488	-1
492	-1
496	-1
500	-1
504	-1
508	-1
512	-1
516	-1
521	-1
525	-1
529	-1
