elapsed_s	hosts_with_ipv4
1	-1
3	-1
5	0
7	0
9	0
12	0
14	0
16	0
18	0
21	0
23	0
25	0
27	0
30	0
32	0
34	0
37	0
39	0
41	0
44	0
46	0
48	0
50	0
53	0
55	0
57	0
60	0
62	0
65	0
67	0
69	0
71	0
74	0
76	0
78	0
80	0
83	0
85	0
87	0
89	0
91	0
94	0
96	0
98	0
100	0
103	0
105	0
107	0
109	0
112	0
114	0
116	0
118	0
121	0
123	0
125	0
127	0
129	0
132	0
134	0
136	0
138	0
141	0
143	0
145	0
147	0
149	0
152	0
154	0
156	0
158	0
160	0
162	0
164	0
166	0
169	0
171	0
173	0
175	0
177	0
179	0
181	0
184	0
186	0
188	0
190	0
192	0
194	0
196	0
198	0
201	0
203	0
205	0
207	0
209	0
211	0
