elapsed_s	hosts_with_ipv4
0	-1
2	0
4	0
6	0
8	0
10	0
14	-1
18	-1
22	-1
26	-1
30	-1
34	-1
38	-1
42	-1
46	-1
50	-1
54	-1
58	-1
62	-1
66	-1
70	-1
74	-1
78	-1
82	-1
86	-1
90	-1
94	-1
98	-1
102	-1
107	-1
111	-1
115	-1
119	-1
123	-1
127	-1
131	-1
135	-1
139	-1
143	-1
147	-1
151	-1
155	-1
159	-1
163	-1
167	-1
171	-1
175	-1
179	-1
183	-1
187	-1
191	-1
195	-1
199	-1
203	-1
207	-1
211	-1
215	-1
219	-1
223	-1
227	-1
231	-1
236	-1
240	-1
244	-1
248	-1
252	-1
256	-1
260	-1
264	-1
268	-1
272	-1
276	-1
280	-1
284	-1
288	-1
292	-1
296	-1
300	-1
304	-1
308	-1
312	-1
316	-1
320	-1
324	-1
328	-1
332	-1
336	-1
340	-1
344	-1
348	-1
352	-1
356	-1
360	-1
365	-1
369	-1
373	-1
377	-1
381	-1
385	-1
389	-1
393	-1
397	-1
401	-1
405	-1
409	-1
413	-1
417	-1
421	-1
425	-1
429	-1
433	-1
437	-1
441	-1
445	-1
449	-1
453	-1
457	-1
461	-1
465	-1
469	-1
473	-1
477	-1
481	-1
485	-1
490	-1
494	-1
498	-1
502	-1
506	-1
510	-1
514	-1
518	-1
522	-1
526	-1
530	-1
