elapsed_s	hosts_with_ipv4
1	-1
3	-1
5	0
7	0
9	0
12	0
14	0
17	0
19	0
21	0
23	0
26	0
28	0
30	0
33	0
35	0
37	0
39	0
42	0
44	0
46	0
48	0
51	0
53	0
55	0
57	0
59	0
61	0
64	0
66	0
68	0
70	0
72	0
74	0
77	0
79	0
81	0
83	0
86	0
88	0
90	0
92	0
95	0
97	0
100	0
102	0
104	0
106	0
108	0
110	0
113	0
115	0
117	0
119	0
121	0
123	0
125	0
127	0
129	0
131	0
133	0
135	0
138	0
140	0
142	0
144	0
146	0
148	0
150	0
152	0
154	0
157	0
159	0
161	0
163	0
165	0
167	0
169	0
171	0
173	0
176	0
178	0
180	0
182	0
184	0
186	0
189	0
191	0
193	0
195	0
197	0
199	0
202	0
204	0
206	0
208	0
210	0
212	0
214	0
