elapsed_s	hosts_with_ipv4
0	-1
2	-1
4	0
6	0
9	0
11	0
13	0
15	0
17	0
19	0
21	0
23	0
25	0
28	0
30	0
32	0
34	0
36	0
38	0
41	0
43	0
45	0
47	0
49	0
51	0
53	0
56	0
58	0
60	0
62	0
64	0
66	0
68	0
70	0
73	0
75	0
77	0
79	0
81	0
83	0
85	0
88	0
90	0
92	0
94	0
96	0
98	0
100	0
102	0
104	0
107	0
109	0
111	0
113	0
115	0
117	0
119	0
121	0
123	0
126	0
128	0
130	0
132	0
134	0
136	0
138	0
140	0
142	0
145	0
147	0
149	0
151	0
153	0
155	0
157	0
159	0
161	0
164	0
166	0
168	0
170	0
172	0
174	0
176	0
178	0
180	0
182	0
184	0
187	0
189	0
191	0
193	0
195	0
197	0
